Region,Country,Vine Area ('000 ha),Cropland under vines (%),Wine produced (ML),Wine consumed (ML),Wine consumed (l/capita),Wine expenditure (US$m 2015),Per capita wine expenditure (US$ 2015),Population (millions),GDP (billion US$ real 1990),GDP per capita ('000 US$),Wine export vol. (ML),Wine import vol. (ML),Value of wine exports (US$ mill),Value of wine imports (US$ mill),Bottled still wine exports (ML),Bottled still wine imports (ML),Sparkling wine exports (ML),Sparkling wine imports (ML),Bulk wine exports (ML),Bulk wine imports (ML),Unit value exports (US$/litre),Unit value imports (US$/litre),% of global prod'n volume,% of global cons'n volume,% of '15 global wine expend.,Wine as % of alcohol cons'n volume,Exports as % of prod'n volume,Imports as % of cons'n volume,Wine self- suff.  (%),% of world export volume,% of world export value,% of world import volume,% of world import value,Index of wine comp. advant.
ECA,Moldova,-0.033821494051669274,1.9035815350625271,-0.5193626927211501,-0.46867904977984454,1.4654813304796115,-9.731207311501188e-17,-1.718064368530292e-16,-0.4374422876600198,-0.44711989645631744,-1.3094885247744767,-0.1875001200329538,-0.5446592860756442,-0.3374269148026642,-0.522950786744329,-0.30941013136617584,-0.6000619233567849,-0.24668878653024442,-0.5437662340799331,0.014156038792601314,-0.5018365850031845,-0.44597963750108843,-0.5461104238524879,-0.5117445202288495,-0.46311108644061577,0.0,1.272696060574677,0.7588416446088545,-0.9698457465556595,-0.08588185749263776,-0.1807253362317964,-0.32946695206981386,-0.5872129650628578,-0.5912521448729958,3.8935910762495505
ECA,Romania,0.1681902933876761,0.11699239251208556,-0.33146167994327347,-0.07607311841831697,0.489776233839054,-0.5169959399297508,-0.7546786998369092,-0.38838999224522774,-0.4191570526807203,-1.2968841137147946,-0.4040554469312632,-0.4329037206731702,-0.3881010709645142,-0.48907092343368824,-0.4025775453979101,-0.5499422296250412,-0.2843590547003506,-0.44252639832763374,-0.3631431397570169,-0.3018512190958715,-0.3658095449109984,-0.9126454919203509,-0.32401161193327366,-0.06211639186372952,-0.5341484944644658,0.2119229600718894,-0.7829711940195032,-0.8425595468930839,-0.2322952033308683,-0.3981363506516696,-0.380371599078574,-0.45565970493329894,-0.5484796045988716,-0.46091946467065154
ECA,Russia,-0.4226383805112384,-0.6371042769393449,-0.17166744292658742,0.8192028405232783,-0.5602778857169939,0.21364062868517322,-0.6577850479736852,0.001983650108276349,0.022553941299192762,-0.7967308652926469,-0.420307583092558,0.7833193128833212,-0.39862688524331746,0.09945345488897443,-0.43224685575592037,0.5177893466572867,-0.26322032880248764,0.5592630772924807,-0.37269214713110815,0.6793755083030798,-0.36679102427450877,-0.778372605805981,-0.16365391613539293,0.8530337965663704,0.07495908534441434,-0.8202881742723436,-0.8419141595672481,-0.17827139415224086,-0.6090906229146265,-0.41451154900655945,-0.3909404899277369,0.9700564533151751,0.184167444020992,-0.49155090625764797
ECA,Ukraine,-0.2426693157344734,-0.5720566018621377,-0.5978772868866954,-0.3416813293566604,-0.7283354273427658,-0.5207033428721343,-0.8827660352064846,-0.26645743362725205,-0.3650560082461997,-1.3807359181047578,-0.31391866734476576,-0.45954488900970447,-0.3801814914091015,-0.46875420791467765,-0.4344433465750783,-0.5074812949436559,-0.2481599006855866,-0.4449464551051031,-0.1366736777121263,-0.47159591947525004,-0.46590475608392595,-0.644061387228785,-0.5903873885150532,-0.3333998211613317,-0.5454191810578047,-0.9774518052475566,0.7312684890341726,-0.69351780864325,-0.7393538885435573,-0.3089575745897695,-0.37245169681017753,-0.4948682654197903,-0.5316080792606307,-0.4194575895921344
ECA,Other ECA,0.6892635158227286,-0.4667113224867562,-0.20550111004939,0.48461297363274575,0.0,-0.5386572307143263,-0.8747643400075871,0.0,8.004311620593707e-17,0.0,0.06190548761262846,0.9634893661447576,-0.12961297135347877,0.2454629861399322,0.09459484512490825,1.1711247295812783,0.024175747581526866,0.9377047578021714,-0.00025798557243809987,1.0123242098345304,-0.37227586896743065,-0.7438645414117121,-0.19765009305650486,0.5123477332960926,0.19905653879234972,-0.9158904690017324,0.2131072203421314,0.21214558824051483,-0.5142275059528603,0.0708855161992573,-0.12212473509913262,1.1853628399459728,0.37303237798353606,7.602001069626532e-17
ANZ,Australia,-0.05232622021600271,-0.4215578432577565,0.47320101083156724,0.1092735184953518,0.6206063663857597,0.15728596404582573,0.8163405404145093,-0.3750800323597243,-0.21406652039862878,1.4004620304172763,1.1109991005127517,-0.32296163871323674,0.6291506472824988,-0.10571218024619894,0.8598522203292349,-0.2938140765523506,-0.049549029674550084,-0.0005311539109884258,1.5912709722255673,-0.38747687890469285,-0.3405209656418643,0.43888233783639413,0.4823772659414381,0.1282116100472248,0.11004645492271083,0.4895849826885205,0.5111867249672379,-0.7149421908304977,1.0032823344813342,1.1221242287652144,0.6437357558616122,-0.326662799507504,-0.06722857761295936,0.2078721038492818
ANZ,New Zealand,-0.461186638099198,0.0,-0.401674299238484,-0.5152703369894678,0.6382133069073277,-0.43214830549078626,1.0610046723676074,-0.4358347764782927,-0.4206008967678471,0.5174971575618096,-0.0005648133016343013,-0.45198907648289766,0.2819578462863572,-0.43041899867798433,0.13813516342565876,-0.5179071110022183,-0.25763919331104507,-0.4109851125354561,-0.050783322473091676,-0.38575063057303405,-0.09364499466353644,-0.3269287409652579,-0.3936691242537098,-0.5104679146702259,-0.4507083533890201,0.5287954258883321,0.7970442503761189,-0.40756289044159827,1.4563898607076224,0.006582413147798804,0.2940261986252097,-0.4783746252794756,-0.47494109778402227,2.1814490532767827
USC,Canada,-0.5646604796916623,-0.642735223553096,-0.6203009377731026,0.03332373417648513,-0.06338186045082866,0.4457197730481441,0.670836162363735,-0.3372473044006926,-0.10822774111501615,1.2636860056003156,-0.2840705647365326,0.4758497097832202,-0.36211787874556484,0.8172478823336502,-0.43214029725408937,0.9056744056841616,-0.2750511345081798,-0.030858210199876297,-0.05241176949459174,0.20966209559412655,-0.44431910144417275,-0.04562993207614241,-0.6128075547503349,0.049617929983614854,0.39786316623520496,-0.07318334699913948,2.042678238051519,0.2743716170842335,-0.9911426638171739,-0.27781721674775156,-0.35418645151449063,0.6124885875277577,1.0935280868674802,-0.47963015167661516
USC,USA,1.7936318233985982,-0.5443202524716413,2.200227822689778,4.0891540186734,-0.3197507891813807,3.8800267480394504,-0.1860011354062231,0.901648910363772,4.5727955881344835,1.9370284306849224,0.7564773059037846,3.167414415833654,0.8910709702050006,5.03138626802283,0.4912396096239943,3.9367655609002514,-0.18683462621540894,4.014493926256609,0.49480308821699726,1.0932472710211303,-0.2285476242351985,0.10893881041703479,2.2107064834096835,4.152867533952585,4.033487998951757,-0.4967125554046287,-0.5503456526113062,-0.4550809635469498,-0.24635712227004974,0.45599808740992553,0.5693341334671238,2.6713396732332266,4.6276013206738975,-0.40415179988475947
LAC,Argentina,0.3312785389101866,-0.4246472542353147,0.506154381807945,0.5423290940617894,0.389293377184127,-0.16611940777663836,-0.4150010645811966,-0.31389237103878587,-0.28749005746712797,-0.623759303263697,0.12309424117188927,-0.5367871569660493,0.10697373547297849,-0.518613910311093,0.33360578253902834,-0.6005456816162891,-0.2077181291435942,-0.5385297753746974,-0.04858987387570379,-0.48260361889425824,-0.27350894907632567,1.147243827250141,0.5118683876966914,0.5694991455255531,-0.13292731185883827,0.992885233883108,-0.36449396484810265,-0.9731999761113129,0.5673097139034158,0.13080451236108626,0.1179629342489739,-0.5778410859245218,-0.5857147637775664,0.6807230850217927
LAC,Brazil,-0.2680603000673193,-0.6149661871427997,-0.4283066720745983,-0.1584471861749594,-0.9814556382834672,-0.10839519746160517,-0.8425649372802908,0.20003079569915885,0.08707044962154356,-1.0244068187166766,-0.42515180692195326,-0.33177324395852176,-0.3986106790091548,-0.30548691838092934,-0.43237027627712066,-0.16376125895467042,-0.2822062957275893,-0.4005006341631266,-0.3763090861073147,-0.5017658448336232,-0.29378945621390423,-0.29883867989622154,-0.42166265946039855,-0.14584195631735034,-0.1777920565572751,-1.2754284061573418,-0.8383045384569302,-0.5928386640283704,-0.4185040236220348,-0.4192156314622469,-0.3910185194923812,-0.33690797443454445,-0.3181396393801109,-0.4904067777869633
LAC,Chile,-0.024206402621890562,2.524670181379456,0.4018169396123063,-0.3484086652457461,-0.15947465310805692,-0.47151739387895397,-0.5853688502051504,-0.39368842962830175,-0.3499909192958394,0.01286558680854256,1.3747489634419414,-0.5408665217040272,0.7400359503052266,-0.5169513679989624,1.496685420078424,-0.5975626669898064,-0.1965889738324864,-0.49295218048908696,1.4129082160249629,-0.5037204293844837,-0.34977799329269776,-0.07038798640485784,0.4088695537644751,-0.3402708992186725,-0.47843816643878284,0.21741875392477042,0.8697850735412569,-0.9617391184387363,3.9735888655561773,1.3861855380616392,0.755645147713678,-0.5827506527269858,-0.5836853970623029,1.9707254570118622
LAC,Mexico,-0.4971372026746435,-0.6089380970176141,-0.6347603296591714,-0.4226236274881583,-1.0091181459631342,-0.3995039003617471,-0.8879727814365574,-0.05064665765193155,-0.06661647045260356,-0.8832248743281147,-0.42741635791439203,-0.39644304499185495,-0.39935500005188845,-0.35642284544271347,-0.4357635228309186,-0.35689622065195953,-0.27592925051435585,-0.2972881698096566,-0.37737388798233074,-0.4468676215427406,-0.1565895704670632,-0.21008401839000876,-0.6275015483200198,-0.41607160353871786,-0.4137134691551778,-1.2366637900994493,-0.7922000995810475,-0.46656784161631065,-0.8799905613734625,-0.4215205739441613,-0.39170327341906563,-0.41286775411485777,-0.3814793173638605,-0.4920432776130449
LAC,Uruguay,-0.5691248285853495,-0.5282597587268844,-0.6039003004357858,-0.5656580438340567,0.4415073531923354,-0.5437502286957823,-0.13352938799196812,-0.43570151769842036,-0.432304201953066,-0.33115792450521603,-0.42067489854974205,-0.5336965576991918,-0.3952060581077426,-0.5140724845015066,-0.4283227462243067,-0.5872481021001206,-0.2867598507889964,-0.5325012454804863,-0.37355474356654456,-0.504623176827671,-0.29312900757031907,-0.4903479020116987,-0.5968011512661116,-0.5621622188732861,-0.5531691406011936,1.384744135627942,-0.7291126085914572,-0.8315895621925337,-0.1304183756823815,-0.41707066265001186,-0.3895218722493351,-0.577432052665996,-0.58338301965609,-0.39243800431365816
LAC,Other LAC,-0.46030632430172413,-0.6146307954317811,-0.5699114330050804,-0.3804846895833103,-1.043700898154165,-0.4972284740248344,-0.8750547640624623,0.2534330380537993,8.004311620593707e-17,0.0,-0.4087755700147665,-0.28418086791073244,-0.3920071960935217,-0.26985732567621534,-0.39593684415062863,-0.15402032758046372,-0.24726952901051655,-0.09943172063458293,-0.3754314011921499,-0.4650059384177272,-0.30778071706844984,-0.3457433157238242,-0.562988100799375,-0.37303228806951544,-0.3958264317280316,-1.211953683243393,-0.44304477901012673,0.03871430346599107,-0.5882682562259435,-0.4025768265550318,-0.3842592243042083,-0.2816154612854778,-0.2748173686136976,7.602001069626532e-17
